stamp,access_id,other_manager,investment_discretion,put_call,security_class,ssh_prn_amt_type,acceptance_stamp,market_value,ssh_prn_amt,voting_authority_sole,voting_authority_shared,voting_authority_none,cik,conformed_submission_type,conformed_period_of_report,filed_as_of_date,date_of_change,effectiveness_date,fiscal_year_end,close,is_shifted_price,id
2018-05-15 14:22:37,0001009215-18-000005,,SOLE,,STOCK,SH,2018-05-15 14:22:37,616000.0,10214.0,8763.0,0.0,1451.0,1009215,13F-HR,2018-03-31 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,,60.4,False,10971539.0
2018-07-31 11:53:52,0001140361-18-034460,,SOLE,,STOCK,SH,2018-07-31 11:53:52,2379000.0,115000.0,115000.0,0.0,0.0,1697539,13F-HR,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-07-31 00:00:00,2018-07-31 00:00:00,1231.0,20.69,False,33942.0
2018-11-19 14:12:54,0000862469-18-000007,,SOLE,,STOCK,SH,2018-11-19 14:12:54,670000.0,13000.0,13000.0,0.0,0.0,862469,13F-HR,2018-09-30 00:00:00,2018-11-19 00:00:00,2018-11-19 00:00:00,2018-11-19 00:00:00,630.0,51.55,False,11142015.0
2018-11-14 12:08:00,0000902219-18-000536,6,DFND,,STOCK,SH,2018-11-14 12:08:00,535000.0,56899.0,0.0,0.0,56899.0,902219,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,9.41,False,11172389.0
2018-05-15 13:07:48,0001214659-18-003735,,SOLE,,STOCK,SH,2018-05-15 13:07:48,4907000.0,164403.0,164403.0,0.0,0.0,1674712,13F-HR,2018-03-31 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,1231.0,29.85,False,11152158.0
2018-10-15 09:42:04,0001597409-18-000004,,SOLE,,ADR,SH,2018-10-15 09:42:04,1988000.0,42140.0,0.0,0.0,0.0,1597409,13F-HR,2018-09-30 00:00:00,2018-10-15 00:00:00,2018-10-15 00:00:00,2018-10-15 00:00:00,1231.0,47.14,False,51367.0
2018-11-13 16:35:41,0001144204-18-059390,,SOLE,,ADR,SH,2018-11-13 16:35:41,484000.0,7524.0,3659.0,0.0,3865.0,1666612,13F-HR,2018-09-30 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,1231.0,64.39,False,76084.0
2018-02-14 17:59:26,0000945631-18-000006,,SOLE,,STOCK,SH,2018-02-14 17:59:26,414000.0,2700.0,2700.0,0.0,0.0,945631,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,,153.42,False,36799.0
2018-05-15 13:06:38,0000950123-18-005610,01,DFND,,STOCK,SH,2018-05-15 13:06:38,1137000.0,48095.0,48095.0,0.0,0.0,102909,13F-HR,2018-03-31 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,1231.0,23.65,False,1910.0
2018-11-14 15:57:18,0001493152-18-016044,5,DFND,,STOCK,SH,2018-11-14 15:57:18,82000.0,3328.0,0.0,0.0,3328.0,1029730,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,24.52,False,22919.0
2018-08-13 15:57:09,0001144204-18-043983,,SOLE,,,SH,2018-08-13 15:57:09,646000.0,12151.0,0.0,0.0,12151.0,1697815,13F-HR,2018-06-30 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,1231.0,53.16,False,11014149.0
2018-11-14 15:57:18,0001493152-18-016044,3,DFND,,STOCK,SH,2018-11-14 15:57:18,149000.0,1597.0,0.0,0.0,1597.0,1029730,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,93.45,False,78702.0
2018-01-19 23:00:00,0001370102-18-000003,,SOLE,,STOCK,SH,2018-01-18 18:26:05,658000.0,3100.0,3100.0,0.0,0.0,1370102,13F-HR,2017-12-31 00:00:00,2018-01-19 00:00:00,2018-01-18 00:00:00,2018-01-19 00:00:00,630.0,212.47,False,78760.0
2018-05-09 15:46:07,0001256484-18-000012,"01,08",DFND,,STOCK,SH,2018-05-09 15:46:07,5740000.0,124406.0,124406.0,0.0,0.0,73124,13F-HR,2018-03-31 00:00:00,2018-05-09 00:00:00,2018-05-09 00:00:00,2018-05-09 00:00:00,1231.0,46.14,False,11108910.0
2018-02-09 14:52:16,0001086364-18-000003,21.0,SOLE,,STOCK,SH,2018-02-09 14:52:16,1000.0,7526.0,7526.0,0.0,0.0,1364742,13F-HR,2017-12-31 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,1231.0,0.15,False,11009913.0
2018-11-14 17:14:47,0001145443-18-000743,"1,2",DFND,,STOCK,SH,2018-11-14 17:14:47,289000.0,12056.0,12056.0,0.0,0.0,928047,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,23.95,False,11123650.0
2018-02-13 11:52:56,0001683168-18-000387,,SOLE,,STOCK,SH,2018-02-13 11:52:56,17000.0,467.0,467.0,0.0,0.0,1377167,13F-HR,2017-12-31 00:00:00,2018-02-13 00:00:00,2018-02-13 00:00:00,2018-02-13 00:00:00,930.0,33.28,False,11517.0
2018-08-09 12:14:51,0001567890-18-000004,,SOLE,,STOCK,SH,2018-08-09 12:14:51,421000.0,6168.0,0.0,0.0,6168.0,1567890,13F-HR,2018-06-30 00:00:00,2018-08-09 00:00:00,2018-08-09 00:00:00,2018-08-09 00:00:00,1231.0,68.29,False,73861.0
2018-04-20 11:44:00,0001134687-18-000003,,SOLE,,STOCK,SH,2018-04-20 11:44:00,59000.0,800.0,800.0,0.0,0.0,1134687,13F-HR,2018-03-31 00:00:00,2018-04-20 00:00:00,2018-04-20 00:00:00,2018-04-20 00:00:00,630.0,73.13,False,12006.0
2018-02-14 11:05:45,0001085146-18-000767,,SOLE,,STOCK,SH,2018-02-14 11:05:45,5022000.0,84283.0,84283.0,0.0,0.0,1665241,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,1231.0,59.58,False,4760.0
2018-02-12 09:50:15,0000831001-18-000008,"14,18,19,27",DFND,,,SH,2018-02-12 09:50:15,66814000.0,2564827.0,2564827.0,0.0,0.0,831001,13F-HR,2017-12-31 00:00:00,2018-02-12 00:00:00,2018-02-12 00:00:00,2018-02-12 00:00:00,1231.0,26.05,False,11019902.0
2018-11-14 15:24:33,0000846797-18-000004,02,DFND,,STOCK,SH,2018-11-14 15:24:33,2639000.0,28148.0,22617.0,0.0,5531.0,846797,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,93.77,False,11997.0
2018-11-13 06:42:37,0001567619-18-005614,13,DFND,,STOCK,SH,2018-11-13 06:42:37,5000.0,756.0,756.0,0.0,0.0,824468,13F-HR,2018-09-30 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,,6.38,False,22349.0
2018-08-14 15:59:58,0001447387-18-000015,,SOLE,,,SH,2018-08-14 15:59:58,1158000.0,10570.0,10570.0,0.0,0.0,1058854,13F-HR/A,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,109.55,False,11167035.0
2018-02-14 16:58:12,0001140361-18-008283,43,DFND,,,SH,2018-02-14 16:58:12,17497000.0,354908.0,0.0,0.0,354908.0,70858,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,1231.0,49.3,False,68839.0
2018-08-14 13:04:10,0000019617-18-000153,8,DFND,,STOCK,SH,2018-08-14 13:04:10,140302000.0,2015257.0,1992694.0,22563.0,0.0,19617,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,69.62,False,159612.0
2018-02-02 14:07:20,0001398344-18-001457,,DFND,,STOCK,SH,2018-02-02 14:07:20,18000.0,5709.0,0.0,5709.0,0.0,809443,13F-HR,2017-12-31 00:00:00,2018-02-02 00:00:00,2018-02-02 00:00:00,2018-02-02 00:00:00,1231.0,3.11,False,29981.0
2018-05-14 16:07:41,0000895421-18-000422,03,DFND,,STOCK,SH,2018-05-14 16:07:41,3235000.0,60401.0,60401.0,0.0,0.0,895421,13F-HR,2018-03-31 00:00:00,2018-05-14 00:00:00,2018-05-14 00:00:00,2018-05-14 00:00:00,1231.0,53.56,False,73300.0
2018-01-22 15:59:11,0001172661-18-000189,,SOLE,,,SH,2018-01-22 15:59:11,25929000.0,160172.0,160172.0,0.0,0.0,1695908,13F-HR,2017-12-31 00:00:00,2018-01-22 00:00:00,2018-01-22 00:00:00,2018-01-22 00:00:00,1231.0,160.85,False,79641.0
